Title,Year of Release,User Rating
Planet Earth II,(2016),9.5
Planet Earth,(2006),9.4
Band of Brothers,(2001),9.4
Breaking Bad,(2008),9.4
Chernobyl,(2019),9.4
Blue Planet II,(2017),9.3
The Wire,(2002),9.3
Game of Thrones,(2011),9.3
Our Planet,(2019),9.3
Cosmos,(2014),9.2
Cosmos,(1980),9.2
Rick and Morty,(2013),9.2
Avatar: The Last Airbender,(2005),9.2
The Sopranos,(1999),9.2
The World at War,(1973),9.1
Life,(2009),9.1
Sherlock,(2010),9.1
The Vietnam War,(2017),9.1
Hagane no renkinjutsushi,(2009),9.1
The Beatles Anthology,(1995),9.0
The Twilight Zone,(1959),9.0
Human Planet,(2011),9.0
The Blue Planet,(2001),9.0
Batman: The Animated Series,(1992),9.0
Firefly,(2002),9.0
Sahsiyet,(2018),9.0
Frozen Planet,(2011),9.0
Dekalog,(1989),9.0
True Detective,(2014),8.9
The Civil War,(1990),8.9
Death Note: Desu nôto,(2006),8.9
Fargo,(2014),8.9
Apocalypse: La 2ème guerre mondiale,(2009),8.9
Kaubôi bibappu,(1998),8.9
Africa,(2013),8.9
When They See Us,(2019),8.9
Last Week Tonight with John Oliver,(2014),8.9
TVF Pitchers,(2015),8.8
Only Fools and Horses....,(1981),8.8
Hunter x Hunter,(2011),8.8
Friends,(1994),8.8
Monty Python's Flying Circus,(1969),8.8
Das Boot,(1985),8.8
Black Mirror,(2011),8.8
Pride and Prejudice,(1995),8.8
Seinfeld,(1989),8.8
The Office,(2005),8.8
Gravity Falls,(2012),8.8
One Punch Man: Wanpanman,(2015),8.8
Over the Garden Wall,(2014),8.8
Twin Peaks,(1990),8.8
Narcos,(2015),8.8
Stranger Things,(2016),8.8
Peaky Blinders,(2013),8.8
The Mandalorian,(2019),8.8
Nathan for You,(2013),8.8
Senke nad Balkanom,(2017),8.8
Blackadder Goes Forth,(1989),8.7
Freaks and Geeks,(1999),8.7
Arrested Development,(2003),8.7
Fawlty Towers,(1975),8.7
Pew News,(2018),8.7
House of Cards,(2013),8.7
Chappelle's Show,(2003),8.7
Rome,(2005),8.7
It's Always Sunny in Philadelphia,(2005),8.7
Shingeki no kyojin,(2013),8.7
The Boys,(2019),8.7
Westworld,(2016),8.7
Oz,(1997),8.7
Cobra Kai,(2018),8.7
Dragon Ball Z: Doragon bôru zetto,(1989),8.7
The West Wing,(1999),8.7
Dragon Ball Z,(1996),8.7
The Marvelous Mrs. Maisel,(2017),8.7
Content Cop,(2015),8.7
Steins;Gate,(2011),8.7
Leyla ile Mecnun,(2011),8.7
Kota Factory,(2019),8.7
"I, Claudius",(1976),8.7
Sarabhai vs Sarabhai,(2004),8.7
The Jinx: The Life and Deaths of Robert Durst,(2015),8.7
Dark,(2017),8.7
Fleabag,(2016),8.7
The Adventures of Sherlock Holmes,(1984),8.7
Justice League Unlimited,(2004),8.7
Curb Your Enthusiasm,(2000),8.7
Demon Slayer: Kimetsu No Yaiba,(2019),8.7
Six Feet Under,(2001),8.7
South Park,(1997),8.7
The Thick of It,(2005),8.6
The Simpsons,(1989),8.6
Aranyélet,(2015),8.6
The Crown,(2016),8.6
House M.D.,(2004),8.6
The Return of Sherlock Holmes,(1986),8.6
